MJD, counts, counts_err
5.759063183555252181e+04,1.159950000000000037e+00,2.239839999999999887e-01
5.759063218277475244e+04,1.227039999999999909e+00,2.315859999999999863e-01
5.759063252999696124e+04,7.624809999999999643e-01,1.826679999999999970e-01
5.759063287721919187e+04,9.348429999999999795e-01,2.007639999999999980e-01
5.759063322444140795e+04,6.909220000000000361e-01,1.728320000000000134e-01
5.759063357166363858e+04,7.297989999999999755e-01,1.773119999999999974e-01
5.759063391888584738e+04,8.172249999999999792e-01,1.878940000000000055e-01
5.759063426610807801e+04,1.070030000000000037e+00,2.152749999999999941e-01
5.759063461333030136e+04,9.824950000000000072e-01,2.062420000000000087e-01
5.759063496055251744e+04,1.080549999999999899e+00,2.160390000000000088e-01
5.759063530777474807e+04,1.107290000000000108e+00,2.192800000000000027e-01
5.759063565499695687e+04,1.158700000000000063e+00,2.245139999999999914e-01
5.759063600221918750e+04,1.155480000000000063e+00,2.237210000000000032e-01
5.759063634944141086e+04,9.393580000000000263e-01,2.024229999999999918e-01
5.759063669666362694e+04,1.065350000000000019e+00,2.147689999999999877e-01
5.759063704388585757e+04,1.204939999999999900e+00,2.289039999999999964e-01
5.759063739110806637e+04,1.461670000000000025e+00,2.507559999999999789e-01
5.759063773833029700e+04,1.205130000000000035e+00,2.286340000000000039e-01
5.759063808555252035e+04,1.414409999999999945e+00,2.470410000000000106e-01
5.759063843277473643e+04,1.490469999999999962e+00,2.541180000000000105e-01
5.759063877999696706e+04,9.453890000000000349e-01,2.017089999999999994e-01
5.759063912721918314e+04,1.103869999999999907e+00,2.179979999999999973e-01
5.759063947444140649e+04,1.158709999999999907e+00,2.237210000000000032e-01
5.759063982166362985e+04,9.384439999999999449e-01,2.014720000000000122e-01
5.759064016888586048e+04,1.155259999999999954e+00,2.242490000000000039e-01
5.759064051610807655e+04,8.936039999999999539e-01,1.973030000000000062e-01
5.759064086333029263e+04,9.023830000000000462e-01,1.980030000000000123e-01
5.759064121055252326e+04,1.025530000000000053e+00,2.106780000000000042e-01
5.759064155777473934e+04,1.111120000000000108e+00,2.192800000000000027e-01
5.759055898868913937e+04,1.291819999999999968e+00,2.361000000000000043e-01
5.759055933591136272e+04,1.537080000000000002e+00,2.586339999999999750e-01
5.759055968313359335e+04,1.149210000000000065e+00,2.237200000000000022e-01
5.759056003035580216e+04,1.157869999999999955e+00,2.239839999999999887e-01
5.759056037757801823e+04,1.110849999999999893e+00,2.192800000000000027e-01
5.759056072480024886e+04,1.371329999999999938e+00,2.444189999999999974e-01
5.759056107202245767e+04,7.648660000000000458e-01,1.826679999999999970e-01
5.759056141924470285e+04,1.025360000000000049e+00,2.114240000000000008e-01
5.759056176646691165e+04,1.190739999999999910e+00,2.280939999999999912e-01
5.759056211368914228e+04,8.516219999999999901e-01,1.927750000000000019e-01
5.759056246091135836e+04,1.118800000000000017e+00,2.197969999999999924e-01
5.759056280813356716e+04,1.459549999999999903e+00,2.516439999999999788e-01
5.759056315535581234e+04,1.147280000000000078e+00,2.239839999999999887e-01
5.759056350257802114e+04,8.056330000000000435e-01,1.878940000000000055e-01
5.759056384980025177e+04,8.456259999999999888e-01,1.920959999999999890e-01
5.759056419702246785e+04,9.744249999999999856e-01,2.064850000000000019e-01
5.759056454424467665e+04,9.748259999999999703e-01,2.064850000000000019e-01
5.759056489146690728e+04,8.885450000000000292e-01,1.970709999999999962e-01
5.759056523868913064e+04,8.941369999999999596e-01,1.968399999999999872e-01
5.759056558591136127e+04,1.283120000000000038e+00,2.358220000000000038e-01
5.759056593313357735e+04,1.420279999999999987e+00,2.473319999999999963e-01
5.759056628035580070e+04,9.842579999999999663e-01,2.069719999999999893e-01
5.759056662757801678e+04,7.724990000000000467e-01,1.830990000000000117e-01
5.759056697480024013e+04,1.531660000000000021e+00,2.577229999999999799e-01
5.759056732202247076e+04,9.833720000000000239e-01,2.062420000000000087e-01
5.759056766924468684e+04,1.288329999999999975e+00,2.355440000000000034e-01
5.759056801646691747e+04,1.196979999999999933e+00,2.280939999999999912e-01
5.759056836368913355e+04,1.024299999999999988e+00,2.109260000000000024e-01
5.759056871091135690e+04,7.677119999999999500e-01,1.824530000000000041e-01
5.759056905813358026e+04,6.440770000000000106e-01,1.667520000000000113e-01
5.759056940535580361e+04,1.030140000000000056e+00,2.111750000000000016e-01
5.759056975257802696e+04,6.854200000000000292e-01,1.720180000000000042e-01
5.759057009980024304e+04,9.427090000000000192e-01,2.021840000000000026e-01
5.759057044702246640e+04,7.644600000000000284e-01,1.824530000000000041e-01
5.759057079424468975e+04,1.186709999999999932e+00,2.270230000000000026e-01
5.759057114146691310e+04,8.452300000000000368e-01,1.916450000000000098e-01
5.759057148868913646e+04,1.228069999999999995e+00,2.321320000000000050e-01
5.759057183591135254e+04,5.907489999999999686e-01,1.609089999999999965e-01
5.759057218313358317e+04,6.765309999999999935e-01,1.720180000000000042e-01
5.759057253035579924e+04,8.494800000000000129e-01,1.923219999999999930e-01
5.759057287757802260e+04,6.831709999999999727e-01,1.718159999999999965e-01
5.759057322480025323e+04,1.119459999999999900e+00,2.195380000000000109e-01
5.759057357202246203e+04,6.843230000000000146e-01,1.722210000000000130e-01
5.759057391924469266e+04,8.655049999999999688e-01,1.941489999999999883e-01
5.759049134867754765e+04,8.070819999999999661e-01,1.872320000000000095e-01
5.759049169589977828e+04,8.536319999999999464e-01,1.927760000000000029e-01
5.759049204312198708e+04,9.715209999999999679e-01,2.057579999999999965e-01
5.759049239034421771e+04,7.294249999999999901e-01,1.783619999999999928e-01
5.759049273756644106e+04,8.947220000000000173e-01,1.980030000000000123e-01
5.759049308478865714e+04,1.267759999999999998e+00,2.355450000000000044e-01
5.759049343201088777e+04,8.874919999999999476e-01,1.968399999999999872e-01
5.759049377923309657e+04,8.942909999999999471e-01,1.977690000000000003e-01
5.759049412645532720e+04,1.232420000000000071e+00,2.318580000000000085e-01
5.759049447367755056e+04,7.612780000000000102e-01,1.830990000000000117e-01
5.759049482089976664e+04,5.919579999999999842e-01,1.612889999999999879e-01
5.759049516812199727e+04,9.811239999999999961e-01,2.069729999999999903e-01
5.759049551534421335e+04,6.394859999999999989e-01,1.667530000000000123e-01
5.759049586256643670e+04,8.118750000000000133e-01,1.876730000000000065e-01
5.759049620978866005e+04,6.380019999999999580e-01,1.667530000000000123e-01
5.759049655701088341e+04,6.413830000000000364e-01,1.667530000000000123e-01
5.759049690423310676e+04,1.237549999999999928e+00,2.315859999999999863e-01
5.759049725145532284e+04,6.452510000000000190e-01,1.665570000000000106e-01
5.759049759867755347e+04,6.864109999999999934e-01,1.720190000000000052e-01
5.759049794589976955e+04,1.071120000000000072e+00,2.155289999999999984e-01
5.759049829312200018e+04,1.204769999999999897e+00,2.280949999999999922e-01
5.759049864034422353e+04,9.767740000000000311e-01,2.062420000000000087e-01
5.759049898756643961e+04,1.117879999999999985e+00,2.203170000000000128e-01
5.759049933478866296e+04,7.288890000000000091e-01,1.773129999999999984e-01
5.759049968201087904e+04,8.121589999999999643e-01,1.881170000000000064e-01
5.759050002923310967e+04,1.284259999999999957e+00,2.363790000000000058e-01
5.759050037645533303e+04,6.005209999999999715e-01,1.610989999999999922e-01
5.759050072367755638e+04,1.207719999999999905e+00,2.283640000000000114e-01
5.759050107089977246e+04,9.889879999999999782e-01,2.067289999999999961e-01
5.759050141812198854e+04,5.566710000000000269e-01,1.550559999999999994e-01
5.759050176534421917e+04,8.589040000000000008e-01,1.925489999999999979e-01
5.759050211256644252e+04,1.280710000000000015e+00,2.336209999999999953e-01
5.759050245978867315e+04,1.800450000000000106e+00,2.780449999999999866e-01
5.759050280701088195e+04,7.232420000000000515e-01,1.773129999999999984e-01
5.759050315423311258e+04,9.373979999999999535e-01,2.021850000000000036e-01
5.759050350145532866e+04,1.280550000000000077e+00,2.358220000000000038e-01
5.759050384867753746e+04,1.097809999999999953e+00,2.192800000000000027e-01
5.759050419589978264e+04,1.195670000000000011e+00,2.275580000000000103e-01
5.759050454312199145e+04,1.467270000000000074e+00,2.513480000000000159e-01
5.759050489034422208e+04,1.112209999999999921e+00,2.195390000000000119e-01
5.759050523756643815e+04,8.947709999999999830e-01,1.966090000000000060e-01
5.759050558478864696e+04,8.923550000000000093e-01,1.963779999999999970e-01
5.759050593201087759e+04,9.908970000000000278e-01,2.069729999999999903e-01
5.759050627923310094e+04,1.608049999999999979e+00,2.647849999999999926e-01
5.759042371012434887e+04,1.532210000000000072e+00,2.586350000000000038e-01
5.759042405734655767e+04,1.153550000000000075e+00,2.250469999999999970e-01
5.759042440456880286e+04,1.021090000000000053e+00,2.106790000000000052e-01
5.759042475179101166e+04,1.359990000000000032e+00,2.429840000000000055e-01
5.759042509901322774e+04,1.063509999999999955e+00,2.155299999999999994e-01
5.759042544623545837e+04,9.771670000000000078e-01,2.060009999999999897e-01
5.759042579345766717e+04,1.098470000000000057e+00,2.185100000000000098e-01
5.759042614067991235e+04,1.286280000000000090e+00,2.363800000000000068e-01
5.759042648790212115e+04,1.282129999999999992e+00,2.355450000000000044e-01
5.759042683512433723e+04,6.829020000000000090e-01,1.724249999999999949e-01
5.759042718234656786e+04,1.582179999999999920e+00,2.609719999999999818e-01
5.759042752956877666e+04,1.410959999999999992e+00,2.479169999999999985e-01
5.759042787679100729e+04,7.596289999999999987e-01,1.824540000000000051e-01
5.759042822401323065e+04,1.439689999999999914e+00,2.507570000000000077e-01
5.759042857123546128e+04,1.237090000000000023e+00,2.318590000000000095e-01
5.759042891845767736e+04,1.113339999999999996e+00,2.200580000000000036e-01
5.759042926567989343e+04,7.172079999999999567e-01,1.768969999999999987e-01
5.759042961290211679e+04,9.049770000000000314e-01,1.975369999999999904e-01
5.759042996012434014e+04,1.336929999999999952e+00,2.397209999999999896e-01
5.759043030734657077e+04,1.206839999999999913e+00,2.280949999999999922e-01
5.759043065456878685e+04,9.026669999999999972e-01,1.975369999999999904e-01
5.759043100179101020e+04,1.074529999999999985e+00,2.150229999999999919e-01
5.759043134901323356e+04,1.315090000000000092e+00,2.363800000000000068e-01
5.759043169623544964e+04,1.321180000000000021e+00,2.385970000000000035e-01
5.759043204345768027e+04,1.283630000000000049e+00,2.366590000000000082e-01
5.759043239067990362e+04,1.058850000000000069e+00,2.152759999999999951e-01
5.759043273790212697e+04,1.234129999999999949e+00,2.318590000000000095e-01
5.759043308512434305e+04,1.541760000000000019e+00,2.586350000000000038e-01
5.759043343234655913e+04,1.198749999999999982e+00,2.286350000000000049e-01
5.759043377956878976e+04,1.362729999999999997e+00,2.432699999999999863e-01
5.759043412679101311e+04,1.201310000000000100e+00,2.283650000000000124e-01
5.759035606563343754e+04,1.705729999999999968e+00,2.723050000000000193e-01
5.759035641285568272e+04,1.180749999999999966e+00,2.272929999999999950e-01
5.759035676007789152e+04,7.589010000000000478e-01,1.822419999999999873e-01
5.759035710730012215e+04,1.104950000000000099e+00,2.203199999999999881e-01
5.759035745452233823e+04,1.143880000000000008e+00,2.237230000000000052e-01
5.759035780174454703e+04,1.151310000000000056e+00,2.234599999999999920e-01
5.759035814896677766e+04,9.886679999999999913e-01,2.067309999999999981e-01
5.759035849618900102e+04,1.196479999999999988e+00,2.283660000000000134e-01
5.759035884341123165e+04,1.408330000000000082e+00,2.470430000000000126e-01
5.759035919063344772e+04,1.673219999999999930e+00,2.695150000000000046e-01
5.759035953785567835e+04,1.199230000000000018e+00,2.280969999999999942e-01
5.759035988507788716e+04,9.426689999999999792e-01,2.024259999999999948e-01
5.759036023230011779e+04,1.274359999999999937e+00,2.355470000000000064e-01
5.759036057952234114e+04,1.275369999999999893e+00,2.366610000000000102e-01
5.759036092674455722e+04,1.153459999999999930e+00,2.234599999999999920e-01
5.759036127396678785e+04,1.326610000000000067e+00,2.397219999999999906e-01
5.759036162118899665e+04,1.792859999999999898e+00,2.777209999999999956e-01
5.759002717187345843e+04,7.709129999999999594e-01,1.831039999999999890e-01
5.759002751909566723e+04,1.376749999999999918e+00,2.429870000000000085e-01
5.759002786631791241e+04,1.030450000000000088e+00,2.111790000000000056e-01
5.759002821354012121e+04,6.391289999999999472e-01,1.663660000000000139e-01
5.759002856076233729e+04,7.702900000000000302e-01,1.831039999999999890e-01
5.759002890798456792e+04,1.297900000000000054e+00,2.369420000000000137e-01
5.759002925520677672e+04,9.792549999999999866e-01,2.067330000000000001e-01
5.759002960242900735e+04,1.201060000000000016e+00,2.278300000000000047e-01
5.759002994965123071e+04,1.026589999999999892e+00,2.114280000000000048e-01
5.759003029687346134e+04,1.299290000000000056e+00,2.363820000000000088e-01
5.759003064409567742e+04,9.434599999999999653e-01,2.019509999999999916e-01
5.759003099131790077e+04,1.200800000000000090e+00,2.278300000000000047e-01
